question,option_a,option_b,option_c,option_d,correct_answer,image
یہ سائن کیا ظاہر کرتا ہے؟,رکیں,داخلہ منع ہے,راستہ دیں,یو ٹرن منع ہے,A,stop.png
یہ سائن کیا مطلب رکھتا ہے؟,داخلہ منع ہے,ایک طرفہ راستہ,یوٹرن ممنوع,پیدل پار ہونا منع,A,no_entry.png
یہ سائن کیا ظاہر کرتا ہے؟,سپیڈ لمٹ 40,کم از کم رفتار 40,رفتار کی حد ختم,ہارن منع,A,speed_limit_40.png
یہ سائن کس چیز کی طرف اشارہ کرتا ہے؟,گول چکر,بائیں مڑیں,تیز دائیں موڑ,بند گلی,A,roundabout.png
یہ سائن کیا دکھاتا ہے؟,پیدل پارگاہ,اسکول زون,بچوں کا کھیل کا علاقہ,ہسپتال آگے,A,pedestrian_crossing.png
یہ سائن کیا مطلب رکھتا ہے؟,یوٹرن کی اجازت,یوٹرن ممنوع,پارکنگ منع ہے,رکنا منع ہے,B,no_u_turn.png
یہ سائن کس چیز کی نمائندگی کرتا ہے؟,صرف دائیں مڑیں,صرف بائیں مڑیں,دائیں مڑنا منع,بائیں مڑنا منع,C,no_right_turn.png
یہ سائن کیا ظاہر کرتا ہے؟,پارکنگ ایریا,پارکنگ منع ہے,بس اسٹاپ,ٹیکسی اسٹینڈ,B,no_parking.png
یہ سائن کس چیز سے خبردار کرتا ہے؟,چڑھائی,اترائی,کھڈا دار سڑک,گرنے والے پتھر,B,steep_descent.png
یہ سائن کیا مطلب رکھتا ہے؟,ریلوے لائن آگے,ایک طرفہ راستہ,پل آگے,ندی کا راستہ,A,railway_crossing.png
یہ سائن کس کے لئے استعمال ہوتا ہے؟,ہسپتال آگے,آرام گاہ,صرف ایمبولینس,فرسٹ ایڈ,A,hospital_ahead.png
یہ سائن کیا ظاہر کرتا ہے؟,پھسلن والی سڑک,بجری والی سڑک,سیلاب کا علاقہ,ڈھیلی مٹی,A,slippery_road.png
یہ سائن کیا مطلب رکھتا ہے؟,زیبرا کراسنگ,اسپیڈ بریکر,اوپر نیچے سڑک,پیدل چلنا منع,B,speed_breaker.png
یہ سائن کیا ظاہر کرتا ہے؟,اوور ٹیکنگ منع ہے,اوور ٹیکنگ کی اجازت,سست گاڑیاں,ٹرک صرف,A,no_overtaking.png
یہ سائن کس چیز کی نشاندہی کرتا ہے؟,تیز دائیں موڑ,تیز بائیں موڑ,ہیئر پن موڑ,گول چکر,B,sharp_left.png
یہ سائن کیا بتاتا ہے؟,دو طرفہ ٹریفک,ایک طرفہ ٹریفک,اوور ٹیکنگ لین,تنگ سڑک,A,two_way.png
یہ سائن کیا مطلب رکھتا ہے؟,اسکول زون,بچوں کا کھیل کا علاقہ,ہسپتال,صرف پیدل,A,school_zone.png
یہ سائن کس چیز کی نشاندہی کرتا ہے؟,پل آگے,تنگ سڑک,ڈی وائڈر شروع,ڈی وائڈر ختم,D,divider_end.png
یہ سائن کس چیز سے خبردار کرتا ہے؟,گرنے والے پتھر,اونچی نیچی سڑک,پھسلن والی سڑک,تنگ پل,A,falling_rocks.png
یہ سائن ڈرائیور کو کیا بتاتا ہے؟,ہارن بجانا منع ہے,ہارن لازمی ہے,شور والا علاقہ,ٹرک ممنوع,A,no_horn.png
سیٹ بیلٹ پہننے کا بنیادی فائدہ کیا ہے؟,حادثے میں چوٹ کم ہوتی ہے,گاڑی کا تیل بچتا ہے,رفتار بڑھتی ہے,ٹائر نہیں گھستے,A,
گاڑی چلاتے وقت آئینوں کو درست رکھنے کا مقصد کیا ہے؟,خوبصورتی کے لیے,پیچھے کا منظر دیکھنے کے لیے,گاڑی تیز کرنے کے لیے,انڈیکیٹر کے لیے,B,
رات کے وقت دوسری گاڑیوں کو کیسے پہچانا جاتا ہے؟,صرف آواز سے,روشنیوں سے,ہارن سے,سڑک کے نشانوں سے,B,
رفتار کی حد کا مقصد کیا ہے؟,گاڑی کو نقصان سے بچانا,ٹریفک کم کرنا,حادثات سے بچاؤ,فیول کم کرنا,C,
ڈرائیونگ کے دوران اچانک لین بدلنے سے کیا خطرہ ہے؟,گاڑی تیز ہو جاتی ہے,پیٹرول زیادہ لگتا ہے,حادثے کا امکان بڑھتا ہے,ٹائر گرم ہوتے ہیں,C,
گاڑی کے انڈیکیٹر کا استعمال کیوں ضروری ہے؟,موسم کا حال بتانے کے لیے,دوسروں کو راستہ بتانے کے لیے,گاڑی صاف رکھنے کے لیے,رفتار بڑھانے کے لیے,B,
صبح کے وقت دھند میں دور کی چیزیں کیوں نظر نہیں آتیں؟,زیادہ روشنی کی وجہ سے,نیم اندھیرے کی وجہ سے,نمکیات کی وجہ سے,نمی کی وجہ سے,D,
گاڑی کا انجن آئل وقت پر تبدیل نہ کیا جائے تو کیا ہوتا ہے؟,گاڑی تیز چلتی ہے,انجن خراب ہوسکتا ہے,ٹائر پنکچر ہوتا ہے,ہیڈ لائٹ بند ہوتی ہے,B,
ہیڈ لائٹس ہمیشہ کس رنگ میں ہوتی ہیں؟,نیلا,پیلا,سفید,سبز,C,
